i,r2,mse,mae
0,0.7906938656001172,2.4211248796839957,1.166740948052227
1,0.7834447829812,2.3832835126224863,1.1549893293288926
2,0.7881665636755879,2.4815083370264106,1.1871774675580387
3,0.7916089945262498,2.4610604677488515,1.165040910744204
4,0.7773017068091332,2.405805444426971,1.1660601835118491
5,0.8041380335156528,2.283889728472782,1.1376916810230728
6,0.8166494443488546,2.1173502442515404,1.1182363718157013
7,0.7828493500067374,2.4613469831597197,1.1813451696483597
8,0.798562617533893,2.374513874441319,1.1562180310605046
9,0.7656480619741037,2.4679772490013323,1.181855482649037
10,0.7980245580649078,2.2116758923616135,1.1321260404010791
11,0.8180528413555378,2.3246172048613922,1.161901294197897
12,0.7994112006289013,2.3401181970868365,1.1368195065968687
13,0.801786784139944,2.3319377098217506,1.1625206542478712
14,0.8091640401252587,2.315721278205628,1.1672153941436385
15,0.7843825198196827,2.4213949943471436,1.1891984397227096
16,0.800571048416994,2.1269247719165016,1.1082557176613772
17,0.7819909451459564,2.349409256139679,1.1519917985962982
18,0.8078458307691836,2.250202184571994,1.1387796677385684
19,0.7912261586483477,2.3437131589703055,1.1390291049126373
20,0.8139456242330911,2.365451361662683,1.166157617574339
21,0.7609157244563948,2.531654623410496,1.1878068999873979
22,0.8012624478517242,2.2698141844119637,1.1371963956537172
23,0.776959618066928,2.4789081223506657,1.1815358557076627
24,0.7856496547646449,2.401909104222761,1.167005080086817
25,0.7842175689873876,2.4092905678707988,1.1747560456146486
26,0.7651684531762456,2.641641479363568,1.213174956792965
27,0.7989231156855077,2.291429549642756,1.142512199578478
28,0.7926857241901815,2.403596827141596,1.1627152283802629
29,0.777772793409941,2.35312854979975,1.1762782819634943
30,0.7987125673793256,2.289503102482063,1.145437142094376
31,0.7868114467632311,2.385089482208553,1.1544899301204614
32,0.8015105834508016,2.305549329628752,1.1467649318865487
33,0.7988686233291257,2.441343876490557,1.15358067791408
34,0.7889157896325478,2.3604602393587815,1.1680318962886738
35,0.8017160476820574,2.286367237787447,1.1298289942326523
36,0.8112277579000664,2.4323917771241845,1.1501008130825416
37,0.7802010479706711,2.264234057077748,1.137265840585993
38,0.8061499802960436,2.519102166065733,1.1948558340031643
39,0.8064795586102413,2.2217527426723085,1.1359980380678643
40,0.7902574401159768,2.2214340847644447,1.1056938516593648
41,0.7993743696738789,2.2336917258466946,1.1433465547134178
42,0.8009997287205551,2.4653202079831176,1.174930302560828
43,0.8009157286162641,2.374048229813305,1.155203723760519
44,0.7968135281463468,2.1078210322951407,1.1075004498143013
45,0.7861717425172506,2.4528124103433164,1.185035195058912
46,0.7988267592014665,2.2675308938133365,1.1406241921684308
47,0.7902952908917692,2.2798027756341432,1.1395132068949045
48,0.7986972384506049,2.306385948404605,1.1515432409412443
49,0.7881293820957361,2.3303624298713967,1.1433410293426496
50,0.7861858847853791,2.4078553031649372,1.166674114105268
51,0.809842331329943,2.2024422432011392,1.1216698501434532
52,0.7804799752869624,2.45125558281401,1.1651907813421212
53,0.8175467984852945,2.0735686239811857,1.0999827581278898
54,0.7678974140926725,2.314188511478562,1.1391538336506182
55,0.7835557795802258,2.5191561795558153,1.1980027509888633
56,0.7855573292378416,2.3276997826787076,1.1600732263768574
57,0.7850898881505382,2.357415220727165,1.1474623626692766
58,0.7924275302810978,2.4390673419073883,1.1632503593935557
59,0.774623238685413,2.312415546198928,1.1541506663768557
60,0.8056661763315482,2.2357419466321677,1.132108512748578
61,0.7717760085935061,2.4200385327576868,1.174773154804191
62,0.7923476644422854,2.5187646404653226,1.1940352143288295
63,0.8073657035307029,2.2874331682533247,1.157063201367123
64,0.7714717357018108,2.451959204631599,1.1743205596050827
65,0.7953726613154961,2.475201466181439,1.1864403767770713
66,0.7881054047505297,2.3583055324281412,1.1767666140262059
67,0.7963104169816183,2.362917675101838,1.166440446515585
68,0.8128625641606366,2.457424939824436,1.178961287802445
69,0.7680319899058288,2.3742482732613546,1.1605060242329623
70,0.8043015111662711,2.2484187181367328,1.1536418159002875
71,0.8150734277237839,2.312613954316481,1.1531544849608597
72,0.7999193327134496,2.2331226304958025,1.1589758618375863
73,0.7895598578311902,2.4780988275978415,1.1855071285905754
74,0.7858899816181473,2.5014582070620217,1.190419104685394
75,0.7784625747656273,2.4394438712530238,1.1740988057566686
76,0.7974048823108275,2.302071984317555,1.1553062889151664
77,0.7944389378162189,2.304891679558213,1.1496389750560885
78,0.7863182522515954,2.3598754349343967,1.1658147135107737
79,0.7985581627380818,2.2235230063769618,1.1298908893159958
